author.value,name.value
https://data.archives-ouvertes.fr/author/46480,Enrico Formenti
https://data.archives-ouvertes.fr/author/46481,Benoît Masson
https://data.archives-ouvertes.fr/author/1217461,Catherine Faron Zucker
https://data.archives-ouvertes.fr/author/53799,Jean-Paul Stromboni
https://data.archives-ouvertes.fr/author/69667,Patricia Guitton
https://data.archives-ouvertes.fr/author/70165,Karim Ben Chehida
https://data.archives-ouvertes.fr/author/861122,Alexandre Goldsztejn
https://data.archives-ouvertes.fr/author/97645,Marc Gaetano
https://data.archives-ouvertes.fr/author/52301,Claude Michel
https://data.archives-ouvertes.fr/author/97981,Mariette Yvinec
https://data.archives-ouvertes.fr/author/292700,Alberto Dennunzio
https://data.archives-ouvertes.fr/author/639536,Alberto Dennunzio
https://data.archives-ouvertes.fr/author/335930,Alberto Dennunzio
https://data.archives-ouvertes.fr/author/1319810,Alberto Dennunzio
https://data.archives-ouvertes.fr/author/1319824,Julien Provillard
https://data.archives-ouvertes.fr/author/1319811,Julien Provillard
