doc.value,author.value,author_name.value,coauthors.value
https://data.archives-ouvertes.fr/document/hal-00310411v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Alberto Dennunzio&https://data.archives-ouvertes.fr/author/335930
https://data.archives-ouvertes.fr/document/hal-01218459v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Bruno Martin&https://data.archives-ouvertes.fr/author/bruno-martin--Jean-Baptiste Yunès&https://data.archives-ouvertes.fr/author/jean-baptiste-yunes--Katsunobu Imai&https://data.archives-ouvertes.fr/author/344096
https://data.archives-ouvertes.fr/document/hal-00310402v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Jarkko Kari&https://data.archives-ouvertes.fr/author/jarkko-kari--Siamak Taati&https://data.archives-ouvertes.fr/author/302427
https://data.archives-ouvertes.fr/document/hal-00311074v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Benoît Masson&https://data.archives-ouvertes.fr/author/46481--Theophilos Pisokas&https://data.archives-ouvertes.fr/author/109941
https://data.archives-ouvertes.fr/document/hal-00273932v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Alberto Dennunzio&https://data.archives-ouvertes.fr/author/292700--Luciano Margara&https://data.archives-ouvertes.fr/author/302417--Pietro Di Lena&https://data.archives-ouvertes.fr/author/302416
https://data.archives-ouvertes.fr/document/hal-01311512v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Jarkko Kari&https://data.archives-ouvertes.fr/author/jarkko-kari--Siamak Taati&https://data.archives-ouvertes.fr/author/1312394
https://data.archives-ouvertes.fr/document/hal-00310526v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Julien Cervelle&https://data.archives-ouvertes.fr/author/julien-cervelle--Pierre Guillon&https://data.archives-ouvertes.fr/author/pguillon
https://data.archives-ouvertes.fr/document/hal-01217125v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Bruno Martin&https://data.archives-ouvertes.fr/author/bruno-martin--Eric Goles&https://data.archives-ouvertes.fr/author/553515
https://data.archives-ouvertes.fr/document/hal-00310850v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Petr Kurka&https://data.archives-ouvertes.fr/author/336372
https://data.archives-ouvertes.fr/document/hal-01183309v1,https://data.archives-ouvertes.fr/author/46480,Enrico Formenti,Bruno Durand&https://data.archives-ouvertes.fr/author/156942--Georges Varouchas&https://data.archives-ouvertes.fr/author/1195352
