author.value,doc.value,title.value,versionOf.value,issuedAt.value,lab.value,labName.value,type.value,country.value,availableAt.value,nameAgg.value,nameAuth.value,address.value,citation.value
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-03014064v1,Single-Size Thermometric Measurements on a Size Distribution of Neutral Fullerenes,https://data.archives-ouvertes.fr/document/hal-03014064,2013-05-01,https://data.archives-ouvertes.fr/structure/6315,FOM Institute for Atomic and Molecular Physics,http://purl.org/spar/fabio/Article,Pays-Bas,2021-02-16,,M. J. J. Vrakking,"FOM Institute for Atomic and Molecular Physics, Kruislaan 407, 1098 SJ Amsterdam, The Netherlands",C. Cauchy-- J. M. Bakker-- Y. Huismans-- A. Rouzée-- B. Redlich-- et al.. Single-Size Thermometric Measurements on a Size Distribution of Neutral Fullerenes. Physical Review Letters-- American Physical Society-- 2013-- 110 (19)-- pp.193401. &#x27E8;10.1103/PhysRevLett.110.193401&#x27E9;. &#x27E8;hal-03014064&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-03055046v1,Hydrogen Atoms under Magnification: Direct Observation of the Nodal Structure of Stark States,https://data.archives-ouvertes.fr/document/hal-03055046,2013-05-01,https://data.archives-ouvertes.fr/structure/6315,FOM Institute for Atomic and Molecular Physics,http://purl.org/spar/fabio/Article,Pays-Bas,2020-12-11,,M. J. J. Vrakking,"FOM Institute for Atomic and Molecular Physics, Kruislaan 407, 1098 SJ Amsterdam, The Netherlands",A. S. Stodolna-- A. Rouzée-- Franck Lépine-- S. Cohen-- F. Robicheaux-- et al.. Hydrogen Atoms under Magnification: Direct Observation of the Nodal Structure of Stark States. Physical Review Letters-- American Physical Society-- 2013-- 110 (21)-- pp.213001. &#x27E8;10.1103/PhysRevLett.110.213001&#x27E9;. &#x27E8;hal-03055046&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-00553330v1,Time-Resolved Holography with Photoelectrons,https://data.archives-ouvertes.fr/document/hal-00553330,2011-01-07,https://data.archives-ouvertes.fr/structure/100193,Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie,http://purl.org/spar/fabio/Article,Allemagne,2011-01-07,,M. J. J. Vrakking,"Max-Born-Straße 2 A, 12489 Berlin",Ymkje Huismans-- Arnaud Rouzée-- Arjan Gijsbertsen-- J. Jungman-- A. S. Smolkowska-- et al.. Time-Resolved Holography with Photoelectrons. Science-- American Association for the Advancement of Science-- 2011-- 331 (6013)-- pp.61. &#x27E8;10.1126/science.1198450&#x27E9;. &#x27E8;hal-00553330&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-00553330v1,Time-Resolved Holography with Photoelectrons,https://data.archives-ouvertes.fr/document/hal-00553330,2011-01-07,https://data.archives-ouvertes.fr/structure/6315,FOM Institute for Atomic and Molecular Physics,http://purl.org/spar/fabio/Article,Pays-Bas,2011-01-07,,M. J. J. Vrakking,"FOM Institute for Atomic and Molecular Physics, Kruislaan 407, 1098 SJ Amsterdam, The Netherlands",Ymkje Huismans-- Arnaud Rouzée-- Arjan Gijsbertsen-- J. Jungman-- A. S. Smolkowska-- et al.. Time-Resolved Holography with Photoelectrons. Science-- American Association for the Advancement of Science-- 2011-- 331 (6013)-- pp.61. &#x27E8;10.1126/science.1198450&#x27E9;. &#x27E8;hal-00553330&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-00990233v1,Probing Time-Dependent Molecular Dipoles on the Attosecond Time Scale,https://data.archives-ouvertes.fr/document/hal-00990233,2013-07-01,https://data.archives-ouvertes.fr/structure/100193,Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie,http://purl.org/spar/fabio/Article,Allemagne,2021-02-11,,M. J. J. Vrakking,"Max-Born-Straße 2 A, 12489 Berlin",C. Neidel-- J. Klei-- C.-H. Yang-- A. Rouzee-- M. J. J. Vrakking-- et al.. Probing Time-Dependent Molecular Dipoles on the Attosecond Time Scale. Physical Review Letters-- American Physical Society-- 2013-- 111-- pp.033001. &#x27E8;10.1103/PhysRevLett.111.033001&#x27E9;. &#x27E8;hal-00990233&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-00005054v1,Two-dimensional momentum imaging of Rydberg states using half-cycle pulse ionization and velocity map imaging,https://data.archives-ouvertes.fr/document/hal-00005054,2003-01-01,https://data.archives-ouvertes.fr/structure/6315,FOM Institute for Atomic and Molecular Physics,http://purl.org/spar/fabio/Article,Pays-Bas,,,M. J. J. Vrakking,"FOM Institute for Atomic and Molecular Physics, Kruislaan 407, 1098 SJ Amsterdam, The Netherlands",A. Wetzels-- A. Gürtler-- F. Rosca-Pruna-- S. Zamith-- M. J. J. Vrakking-- et al.. Two-dimensional momentum imaging of Rydberg states using half-cycle pulse ionization and velocity map imaging. Physical Review A-- American Physical Society-- 2003-- 68-- pp.041401(R). &#x27E8;10.1103/PhysRevA.68.041401&#x27E9;. &#x27E8;hal-00005054&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-00005055v1,Electron kinetic energy measurements from laser irradiation of clusters,https://data.archives-ouvertes.fr/document/hal-00005055,2003-01-01,https://data.archives-ouvertes.fr/structure/6315,FOM Institute for Atomic and Molecular Physics,http://purl.org/spar/fabio/Article,Pays-Bas,,,M. J. J. Vrakking,"FOM Institute for Atomic and Molecular Physics, Kruislaan 407, 1098 SJ Amsterdam, The Netherlands",E. Springate-- S. A. Aseyev-- S. Zamith-- M. J. J. Vrakking. Electron kinetic energy measurements from laser irradiation of clusters. Physical Review A-- American Physical Society-- 2003-- 68-- pp.053201. &#x27E8;10.1103/PhysRevA.68.053201&#x27E9;. &#x27E8;hal-00005055&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-00716465v1,Scaling Laws for Photoelectron Holography in the Midinfrared Wavelength Regime,https://data.archives-ouvertes.fr/document/hal-00716465,2012-07-06,https://data.archives-ouvertes.fr/structure/6315,FOM Institute for Atomic and Molecular Physics,http://purl.org/spar/fabio/Article,Pays-Bas,,,M. J. J. Vrakking,"FOM Institute for Atomic and Molecular Physics, Kruislaan 407, 1098 SJ Amsterdam, The Netherlands",Ymkje Huismans-- Arjan Gijsbertsen-- A. S. Smolkowska-- J. H. Jungmann-- Arnaud Rouzée-- et al.. Scaling Laws for Photoelectron Holography in the Midinfrared Wavelength Regime. Physical Review Letters-- American Physical Society-- 2012-- 109 (1)-- 013002 [5 p.]. &#x27E8;10.1103/PhysRevLett.109.013002&#x27E9;. &#x27E8;hal-00716465&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-00716465v1,Scaling Laws for Photoelectron Holography in the Midinfrared Wavelength Regime,https://data.archives-ouvertes.fr/document/hal-00716465,2012-07-06,https://data.archives-ouvertes.fr/structure/100193,Max-Born-Institut für Nichtlineare Optik und Kurzzeitspektroskopie,http://purl.org/spar/fabio/Article,Allemagne,,,M. J. J. Vrakking,"Max-Born-Straße 2 A, 12489 Berlin",Ymkje Huismans-- Arjan Gijsbertsen-- A. S. Smolkowska-- J. H. Jungmann-- Arnaud Rouzée-- et al.. Scaling Laws for Photoelectron Holography in the Midinfrared Wavelength Regime. Physical Review Letters-- American Physical Society-- 2012-- 109 (1)-- 013002 [5 p.]. &#x27E8;10.1103/PhysRevLett.109.013002&#x27E9;. &#x27E8;hal-00716465&#x27E9;
https://data.archives-ouvertes.fr/author/52449,https://data.archives-ouvertes.fr/document/hal-00008358v1,Single-shot measurement of revival structures in femtosecond laser-induced alignment of molecules,https://data.archives-ouvertes.fr/document/hal-00008358,2005-01-01,https://data.archives-ouvertes.fr/structure/6315,FOM Institute for Atomic and Molecular Physics,http://purl.org/spar/fabio/Article,Pays-Bas,,,M. J. J. Vrakking,"FOM Institute for Atomic and Molecular Physics, Kruislaan 407, 1098 SJ Amsterdam, The Netherlands",Sébastien Zamith-- F. Lépine-- Z. Ansari-- M. J. J. Vrakking. Single-shot measurement of revival structures in femtosecond laser-induced alignment of molecules. Optics Letters-- Optical Society of America - OSA Publishing-- 2005-- 30-- pp.2326. &#x27E8;hal-00008358&#x27E9;
