author.value,doc.value,title.value,versionOf.value,issuedAt.value,lab.value,labName.value,country.value,availableAt.value,nameAgg.value,nameAuth.value,adress.value
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-01561926v1,Spectroscopy of solid density plasmas generated by irradiation of thin foils by a fs laser,https://data.archives-ouvertes.fr/document/hal-01561926,2000-01-01,https://data.archives-ouvertes.fr/structure/403,Bureau International des Poids et Mesures,France,,,Z. Jiang,
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-01561928v1,Characterization of a subpicosecond x-ray streak camera for ultrashort laser-produced plasmas experiments,https://data.archives-ouvertes.fr/document/hal-01561928,2000-01-01,https://data.archives-ouvertes.fr/structure/403,Bureau International des Poids et Mesures,France,,,Z. Jiang,
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-01561921v1,Polarization induced modification of thermal radiative properties of solid density plasmas produced by subpicosecond laser,https://data.archives-ouvertes.fr/document/hal-01561921,2001-01-01,https://data.archives-ouvertes.fr/structure/403,Bureau International des Poids et Mesures,France,,,Z. Jiang,
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-01561924v1,Femtosecond thermal X-ray pulses from hot solid density plasmas,https://data.archives-ouvertes.fr/document/hal-01561924,2001-01-01,https://data.archives-ouvertes.fr/structure/403,Bureau International des Poids et Mesures,France,,,Z. Jiang,
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-00710447v1,"Results of the sixth international comparison of absolute gravimeters, ICAG-2001",https://data.archives-ouvertes.fr/document/hal-00710447,2002-10-01,https://data.archives-ouvertes.fr/structure/403,Bureau International des Poids et Mesures,France,2012-06-20,,Z. Jiang,
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-01561897v1,Medical imaging with X-ray sources created by laser,https://data.archives-ouvertes.fr/document/hal-01561897,2003-01-01,https://data.archives-ouvertes.fr/structure/403,Bureau International des Poids et Mesures,France,,,Z. Jiang,
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/inserm-00391165v1,[Perfusion MR imaging for initial diagnosis and follow-up of brain tumors],https://data.archives-ouvertes.fr/document/inserm-00391165,2005-09-01,https://data.archives-ouvertes.fr/structure/95989,Hôpital Sino-Français,Chine,9999-12-31,,Z. Jiang,Suzhou
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-01985660v1,Wigner crystallization in a quasi-three-dimensional electronic system,https://data.archives-ouvertes.fr/document/hal-01985660,2008-12-01,https://data.archives-ouvertes.fr/structure/408594,"Key Laboratory of Meteorological Disaster of Ministry of Education (KLME), Nanjing University of Information Science and Technology, Nanjing, China",Chine,,,Z. Jiang,
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-00514370v1,Relative Gravity Measurement Campaign during the 7th International Comparison of Absolute Gravimeters (2005),https://data.archives-ouvertes.fr/document/hal-00514370,2009-01-01,https://data.archives-ouvertes.fr/structure/403,Bureau International des Poids et Mesures,France,,,Z. Jiang,
https://data.archives-ouvertes.fr/author/265325,https://data.archives-ouvertes.fr/document/hal-01985675v1,DISTORTION OF THE 2D WIGNER CRYSTAL INTO A 'QUASI-3D' INSULATOR,https://data.archives-ouvertes.fr/document/hal-01985675,2009-05-20,https://data.archives-ouvertes.fr/structure/408594,"Key Laboratory of Meteorological Disaster of Ministry of Education (KLME), Nanjing University of Information Science and Technology, Nanjing, China",Chine,,,Z. Jiang,
